AnalysisId,MemberId,Position,Distance_m,LocalUx_m,LocalUy_m,LocalRz_rad,GlobalUx_m,GlobalUy_m
ULS1,M1,0.000000,0.000000,0.000000,0.000000,-0.024182,0.000000,0.000000
ULS1,M1,0.050000,0.250000,0.000000,-0.005743,-0.021763,0.000000,-0.005743
ULS1,M1,0.100000,0.500000,0.000000,-0.010882,-0.019345,0.000000,-0.010882
ULS1,M1,0.150000,0.750000,0.000000,-0.015416,-0.016927,0.000000,-0.015416
ULS1,M1,0.200000,1.000000,0.000000,-0.019345,-0.014509,0.000000,-0.019345
ULS1,M1,0.250000,1.250000,0.000000,-0.022670,-0.012091,0.000000,-0.022670
ULS1,M1,0.300000,1.500000,0.000000,-0.025391,-0.009673,0.000000,-0.025391
ULS1,M1,0.350000,1.750000,0.000000,-0.027507,-0.007254,0.000000,-0.027507
ULS1,M1,0.400000,2.000000,0.000000,-0.029018,-0.004836,0.000000,-0.029018
ULS1,M1,0.450000,2.250000,0.000000,-0.029925,-0.002418,0.000000,-0.029925
ULS1,M1,0.500000,2.500000,0.000000,-0.030227,0.000000,0.000000,-0.030227
ULS1,M1,0.550000,2.750000,0.000000,-0.029925,0.002418,0.000000,-0.029925
ULS1,M1,0.600000,3.000000,0.000000,-0.029018,0.004836,0.000000,-0.029018
ULS1,M1,0.650000,3.250000,0.000000,-0.027507,0.007254,0.000000,-0.027507
ULS1,M1,0.700000,3.500000,0.000000,-0.025391,0.009673,0.000000,-0.025391
ULS1,M1,0.750000,3.750000,0.000000,-0.022670,0.012091,0.000000,-0.022670
ULS1,M1,0.800000,4.000000,0.000000,-0.019345,0.014509,0.000000,-0.019345
ULS1,M1,0.850000,4.250000,0.000000,-0.015416,0.016927,0.000000,-0.015416
ULS1,M1,0.900000,4.500000,0.000000,-0.010882,0.019345,0.000000,-0.010882
ULS1,M1,0.950000,4.750000,0.000000,-0.005743,0.021763,0.000000,-0.005743
ULS1,M1,1.000000,5.000000,0.000000,0.000000,0.024182,0.000000,0.000000
