AnalysisId,MemberId,Position,Distance_m,NormalForce_kN,ShearForce_kN,BendingMoment_kNm
ULS1,M1,0.000000,0.000000,-0.000000,48.750000,0.000000
ULS1,M1,0.050000,0.250000,-0.000000,43.875000,11.578125
ULS1,M1,0.100000,0.500000,-0.000000,39.000000,21.937500
ULS1,M1,0.150000,0.750000,-0.000000,34.125000,31.078125
ULS1,M1,0.200000,1.000000,-0.000000,29.250000,39.000000
ULS1,M1,0.250000,1.250000,-0.000000,24.375000,45.703125
ULS1,M1,0.300000,1.500000,-0.000000,19.500000,51.187500
ULS1,M1,0.350000,1.750000,-0.000000,14.625000,55.453125
ULS1,M1,0.400000,2.000000,-0.000000,9.750000,58.500000
ULS1,M1,0.450000,2.250000,-0.000000,4.875000,60.328125
ULS1,M1,0.500000,2.500000,-0.000000,0.000000,60.937500
ULS1,M1,0.550000,2.750000,-0.000000,-4.875000,60.328125
ULS1,M1,0.600000,3.000000,-0.000000,-9.750000,58.500000
ULS1,M1,0.650000,3.250000,-0.000000,-14.625000,55.453125
ULS1,M1,0.700000,3.500000,-0.000000,-19.500000,51.187500
ULS1,M1,0.750000,3.750000,-0.000000,-24.375000,45.703125
ULS1,M1,0.800000,4.000000,-0.000000,-29.250000,39.000000
ULS1,M1,0.850000,4.250000,-0.000000,-34.125000,31.078125
ULS1,M1,0.900000,4.500000,-0.000000,-39.000000,21.937500
ULS1,M1,0.950000,4.750000,-0.000000,-43.875000,11.578125
ULS1,M1,1.000000,5.000000,-0.000000,-48.750000,0.000000
